season;federation;points
2018-2019;FRO;0.8
2018-2019;LIE;2.7
2018-2019;AND;0.366
2018-2019;GEO;0.95
2018-2019;EST;1.0
2018-2019;MNE;0.825
2018-2019;SMR;0.133
2018-2019;KOS;0.5
2019-2020;GER;14.956
2019-2020;ESP;20.456
2019-2020;ITA;14.13
2019-2020;ENG;18.092
2019-2020;FRA;11.849
2019-2020;UKR;7.22
2019-2020;POR;9.889
2019-2020;NED;7.15
2019-2020;RUS;9.109
2019-2020;SUI;5.28
2019-2020;TUR;6.72
2019-2020;AUT;6.585
2019-2020;GRE;5.26
2019-2020;DEN;5.85
2019-2020;BEL;7.58
2019-2020;SCO;5.575
2019-2020;CZE;5.46
2019-2020;CRO;4.975
2019-2020;KAZ;3.85
2019-2020;CYP;5.35
2019-2020;BUL;3.475
2019-2020;BLR;3.775
2019-2020;SRB;5.1
2019-2020;SWE;4.55
2019-2020;AZE;3.75
2019-2020;ROU;3.34
2019-2020;POL;3.325
2019-2020;ISR;3.925
2019-2020;NOR;4.35
2019-2020;SVN;2.6
2019-2020;MDA;1.35
2019-2020;HUN;2.575
2019-2020;IRL;1.34
2019-2020;SVK;3.175
2019-2020;LUX;1.6
2019-2020;MKD;1.475
2019-2020;WAL;1.0
2019-2020;FIN;1.3
2019-2020;LTU;1.575
2019-2020;BIH;1.375
2019-2020;ARM;1.525
2019-2020;ALB;1.475
2019-2020;LIE;2.7
2019-2020;MLT;1.15
2019-2020;LVA;1.525
2019-2020;NIR;0.975
2019-2020;GIB;0.95
2019-2020;EST;0.875
2019-2020;GEO;1.15
2019-2020;AND;0.566
2019-2020;ISL;1.075
2019-2020;MNE;0.875
2015-2016;MDA;1.825
2015-2016;SVK;2.4
2015-2016;HUN;1.975
2015-2016;ALB;1.325
2015-2016;BIH;1.425
2015-2016;LVA;1.075
2015-2016;GEO;1.625
2015-2016;ISL;1.75
2015-2016;MKD;1.2
2015-2016;WAL;0.7
2015-2016;LTU;0.925
2015-2016;LUX;1.05
2015-2016;LIE;2.1
2015-2016;IRL;1.09
2015-2016;MLT;0.716
2006-2007;FIN;2.42
2006-2007;MDA;2.365
2006-2007;IRL;2.145
2006-2007;MKD;1.925
2006-2007;ISL;1.65
2006-2007;LTU;2.42
2006-2007;BLR;1.54
2006-2007;EST;1.21
2007-2008;ENG;24.996
2007-2008;ITA;19.934
2007-2008;ESP;24.837
2007-2008;FRA;17.38
2007-2008;GER;16.078
2007-2008;NED;12.61
2007-2008;POR;13.176
2007-2008;SCO;11.013
2007-2008;RUS;14.437
2007-2008;ROU;13.398
2007-2008;GRE;8.525
2007-2008;SUI;7.993
2007-2008;TUR;10.469
2007-2008;UKR;9.932
2007-2008;BEL;8.81
2007-2008;CZE;8.496
2007-2008;NOR;7.4
2007-2008;BUL;7.644
2007-2008;AUT;5.84
2007-2008;SRB;5.527
2007-2008;DEN;6.748
2007-2008;ISR;5.197
2007-2008;CRO;3.836
2007-2008;POL;3.973
2007-2008;SVK;4.07
2007-2008;HUN;3.96
2007-2008;SWE;4.518
2007-2008;SVN;3.272
2007-2008;CYP;3.327
2007-2008;FIN;3.176
2007-2008;GEO;1.925
2007-2008;LVA;2.915
2007-2008;BIH;2.805
2007-2008;MDA;2.475
2007-2008;IRL;2.42
2007-2008;MKD;2.09
2007-2008;ISL;1.98
2007-2008;BLR;1.76
2007-2008;EST;1.43
2008-2009;ESP;14.853
2008-2009;ENG;15.899
2008-2009;ITA;12.582
2008-2009;GER;11.339
2008-2009;FRA;10.033
2008-2009;NED;7.826
2008-2009;UKR;8.37
2008-2009;RUS;9.525
2008-2009;POR;7.292
2008-2009;GRE;5.633
2008-2009;SCO;5.575
2008-2009;ROU;7.781
2008-2009;TUR;6.445
2008-2009;SUI;5.05
2008-2009;BEL;5.065
2008-2009;AUT;3.565
2008-2009;NOR;3.76
2008-2009;DEN;4.89
2008-2009;CZE;4.15
2008-2009;BUL;4.25
2008-2009;SRB;3.05
2008-2009;ISR;3.05
2008-2009;CRO;2.466
2008-2009;POL;2.583
2008-2009;CYP;3.016
2008-2009;SVK;2.933
2008-2009;SWE;2.938
2008-2009;BLR;1.733
2008-2009;HUN;1.633
2008-2009;SVN;1.816
2008-2009;GEO;1.332
2008-2009;FIN;1.958
2008-2009;IRL;1.899
2008-2009;LVA;1.832
2008-2009;ISL;1.333
2008-2009;MKD;1.033
2008-2009;LTU;1.933
2008-2009;BIH;1.733
2008-2009;EST;0.866
2009-2010;ESP;15.951
2009-2010;ENG;16.371
2009-2010;GER;12.841
2009-2010;ITA;12.867
2009-2010;FRA;10.748
2009-2010;POR;7.659
2009-2010;UKR;7.91
2009-2010;RUS;8.758
2009-2010;NED;7.309
2009-2010;GRE;5.979
2009-2010;SCO;5.158
2009-2010;TUR;6.89
2009-2010;SUI;5.675
2009-2010;ROU;7.898
2009-2010;BEL;5.58
2009-2010;DEN;5.47
2009-2010;CZE;4.395
2009-2010;ISR;3.775
2009-2010;BUL;4.4
2009-2010;NOR;3.48
2009-2010;AUT;3.915
2009-2010;CRO;2.466
2009-2010;SRB;2.8
2009-2010;BLR;2.308
2009-2010;CYP;3.599
2009-2010;SVK;3.166
2009-2010;POL;2.508
